target_artifact,depth_1,depth_2,depth_3
aopalliance:aopalliance,734,14492,80595
com.google.code.findbugs:findbugs-annotations,297,3893,51497
com.google.code.findbugs:jsr305,17230,94661,205845
javax.activation:activation,2259,22094,122263
javax.activation:javax.activation-api,887,13414,44411
javax.inject:javax.inject,6540,49279,150151
javax.servlet:servlet-api,9472,61659,170358
jmock:jmock,359,7711,60915
junit:junit,152059,341644,416137
log4j:log4j,18927,110598,210919
net.jcip:jcip-annotations,1433,8790,34474
org.apache.felix:org.apache.felix.scr.ds-annotations,805,1840,2359
org.apiguardian:apiguardian-api,832,40228,101295
org.easymock:easymock,7099,79917,244869
org.hamcrest:hamcrest-all,11988,52825,134806
org.hamcrest:hamcrest-core,6689,156071,326804
org.hamcrest:hamcrest-library,10567,91761,210516
org.jetbrains:annotations,5279,58956,113927
org.osgi:org.osgi.compendium,4544,15490,45631
org.scala-sbt:test-interface,677,37438,77632
